species,family,leaf_phenology,p50,n_p50,rd_max,n_rd
Salix cinerea,Salicaceae,d,-1.99,(1),1.4,(1)
Salix purpurea,Salicaceae,d,-1.97,(1),1.95,(2)
Salvia mellifera,Lamiaceae,e,-8.3,(1),0.61,(1)
Sambucus nigra,Viburnaceae,d,-1.36,(2),3,(1)
Schinus johnstonii,Anacardiaceae,e,-3.6,(1),2.5,(1)
Sciadopitys verticillata,Sciadopityaceae,e,-4.07,(1),1.8,(1)
Senecio filaginoides,Asteraceae,e,-5,(1),1.7,(4)
Sequoia sempervirens,Cupressaceae,e,-4.80875,(8),5,(2)
Sequoiadendron giganteum,Cupressaceae,e,-3.786666666666666,(3),2,(2)
Sorbus aria,Rosaceae,d,-5.525,(2),0.6363,(2)
Sorbus aucuparia,Rosaceae,d,-3.35,(2),2.2,(3)
Sorbus torminalis,Rosaceae,d,-6.21,(1),2.02,(3)
Taxodium distichum,Cupressaceae,d,-2.24,(3),2.8,(1)
Taxus baccata,Taxaceae,e,-6.81,(3),1.65,(7)
Tetragastris panamensis,Burseraceae,e,-1.82847,(2),0.7,(1)
Thuja occidentalis,Cupressaceae,e,-3.57,(1),1.4,(5)
Thuja plicata,Cupressaceae,e,-4.886,(5),1.19,(2)
Thujopsis dolabrata,Cupressaceae,e,-4.15,(1),1.9,(1)
Tilia cordata,Malvaceae,d,-3.22,(1),2.93,(3)
Tilia platyphyllos,Malvaceae,d,-3.07,(1),1.6,(2)
Torreya nucifera,Taxaceae,e,-5.95,(1),2,(1)
Tsuga canadensis,Pinaceae,e,-3.07,(1),1.4,(3)
Ulex europaeus,Fabaceae,e,-6.58,(1),1.3,(2)
Ulmus minor,Ulmaceae,d,-3.23,(1),3.5,(1)
Vaccinium myrtillus,Ericaceae,d,-2.086666666666667,(3),0.5765,(3)
Vaccinium uliginosum,Ericaceae,d,-2.7,(1),0.2859,(2)
Vaccinium vitis-idaea,Ericaceae,e,-1.9733333333333336,(3),0.4526,(2)
Viburnum lantana,Viburnaceae,d,-3.9225,(4),2.13,(3)
Vitis vulpina,Vitaceae,d,-2.91,(1),4.12,(3)
