Species,Dr,EU_soil_texture
Pinus cembra,0.98,F
Pinus nigra,0.33,C
Pinus nigra,1.01,C
Pinus nigra,0.88,C
Pinus nigra,10.04,C
Pseudotsuga menziesii,1.12,C
Pseudotsuga menziesii,1.44,C
Pseudotsuga menziesii,2.4,C
Sequoia giganteum,2,
Taxus baccata,1.3,F
Taxus baccata,0.1315,F
Taxus baccata,1.45,F
Taxus baccata,0.0969,F
Taxus baccata,1.65,C
Taxus baccata,0.178,C
Taxus baccata,0.5056,C
Berberis vulgaris,1.92,C
Berberis vulgaris,2.8,C
Berberis vulgaris,3.15,C
Berberis vulgaris,0.2628,C
Staphylea pinnata,0.9,C
Crataegus monogyna,1.5,C
Crataegus monogyna,1.95,C
Pyrus pyraster,2.75,C
Malus sylvestris,2.34,M
Sorbus torminalis,1.37,F
Sorbus torminalis,0.82,F
Sorbus torminalis,2.02,C
Sorbus aria,0.6363,M
Sorbus aria,0.5221,
Sorbus aucuparia,1.3,C
Sorbus aucuparia,2.2,C
Sorbus aucuparia,0.96,C
Sorbus domestica,3.45,M
Sorbus chamaemespilus,0.92,F
Amelanchier ovalis,1.65,M
Amelanchier ovalis,0.9054,M
Prunus padus,2.1,C
Prunus padus,0.1269,
Prunus padus,1.44,C
Prunus avium,0.51,C
Prunus avium,1.6,C
Prunus spinosa,1.64,C
Prunus spinosa,2.38,C
Prunus spinosa,1.81,C
Rhamnus cathartica,0.96,C
Rhamnus fallax,0.84,F
Rhamnus fallax,0.87,F
Frangula alnus,0.4491,C
Castanea sativa,0.9,M
Castanea sativa,0.6381,M
Castanea sativa,2.03,C
Castanea sativa,2.87,C
Castanea sativa,2.53,C
Castanea sativa,0.7668,
Castanea sativa,0.2918,
Castanea sativa,1.8,C
Castanea sativa,1.67,C
Castanea sativa,2.28,C
Castanea sativa,0.91,C
Castanea sativa,1.14,C
Castanea sativa,0.92,C
Castanea sativa,1.64,C
Fagus sylvatica,0.6517,C
Fagus sylvatica,1.1191,C
Fagus sylvatica,0.2376,C
Fagus sylvatica,1.56,F
Fagus sylvatica,1.66,C
Fagus sylvatica,0.28,C
Fagus sylvatica,,
Quercus cerris,1.42,C
Quercus cerris,0.52,C
Quercus cerris,1.75,F
Quercus cerris,0.3991,F
Quercus rubra,1.8,C
Quercus pubescens,1.57,M
Quercus pubescens,0.7991,M
Quercus petraea,2.27,C
Quercus petraea,1.65,M
Quercus petraea,0.1685,M
Quercus robur,2.53,C
Quercus robur,2,C
Quercus robur,2.22,C
Quercus robur,3.38,C
Quercus robur,0.526,C
Quercus robur,2.0577,C
Quercus robur,1.82,C
Quercus robur,2.05,C
Quercus robur,1.67,C
Betula pendula,2.52,C
Betula pendula,0.125,C
Betula pendula,0.63,Wl
Betula pubescens,0.3,
Betula pubescens,0.1175,
Alnus glutinosa,3.51,C
Alnus glutinosa,1.94,M
Alnus glutinosa,0.4574,
Alnus glutinosa,1.68,C
Alnus incana,0.6856,C
Alnus incana,1.2,C
Alnus incana,2.2,C
Alnus incana,0.4928,C
Corylus avellana,3.45,C
Corylus avellana,1,C
Corylus avellana,3.2558,C
Carpinus betulus,1.26,C
Carpinus betulus,0.1297,C
Carpinus betulus,3.87,M
Carpinus betulus,0.4697,
Carpinus betulus,0.2684,
Ostrya carpinifolia,0.6931,F
Ostrya carpinifolia,1.97,C
Juglans regia,1.7,C
Juglans regia,0.3124,C
Juglans regia,1.33,C
Juglans regia,2.6,C
Ulmus glabra,1.59,M
Ulmus minor,3.5,M
Ulmus laevis,1.8,C
Robinia pseudacacia,2.05,C
Robinia pseudacacia,3.64,C
Laburnum alpinum,1.87,M
Laburnum alpinum,1.07,M
Laburnum alpinum,1.6,M
Laburnum alpinum,0.5373,M
Aesculus hippocastanum,1.84,C
Acer pseudoplatanus,1.9,C
Acer pseudoplatanus,1.8,M
Acer pseudoplatanus,0.344,M
Acer pseudoplatanus,0.96,F
Acer pseudoplatanus,0.2989,F
Acer platanoides,2.85,C
Acer campestre,3.45,C
Acer campestre,0.3546,C
Tilia cordata,2.93,M
Tilia platyphyllos,1.6,M
Tilia platyphyllos,0.2945,
Populus alba,2.5,C
Populus x canadensis,3.45,M
Populus nigra,1.4,C
Populus tremula,2.6,C
Salix alba,2.9,C
Salix elaeagnos,2.3,C
Salix elaeagnos,0.12,C
Salix elaeagnos,2,C
Salix purpurea,1.52,C
Salix purpurea,1.95,C
Salix caprea,2.4,C
Salix caprea,2.49,C
Salix cinerea,1.4,C
Salix cinerea,0.09,C
Salix glabra,0.7,C
Salix glabra,0.85,C
Salix glabra,0.79,C
Euonymus europea,0.75,C
Cornus sanguinea,0.9,M
Cornus sanguinea,0.15,M
Ilex aquifolium,0.35,F
Ilex aquifolium,0.91,F
Fraxinus angustifolia,1.24,F
Fraxinus angustifolia,1.7,F
Fraxinus excelsior,1.56,C
Fraxinus excelsior,1.12,C
Fraxinus excelsior,0.45,C
Fraxinus excelsior,2,C
Fraxinus ornus,0.81,C
Ligustrum vulgare,1.52,M
Ligustrum vulgare,1.17,M
Sambucus nigra,3,C
Sambucus racemosa,1.78,C
Viburnum lantana,0.72,C
Viburnum lantana,2.13,C
Viburnum lantana,1.42,M
Viburnum opulus,0.65,C
Viburnum opulus,0.09,C
Lonicera xylosteum,0.88,C
Lonicera xylosteum,2.18,C
Lonicera xylosteum,1.6,M
Lonicera xylosteum,1.25,M
Allium cepa,0.48,
Allium sativum,0.48,
Allium sativum,0.57,
Allium ampeloprasum L.,0.59,
Allium porrum,0.75,
Allium schoenoprasum L.,0.6,
Asparagus officinalis L,1.5,
Zea Mays L.,0.37,
Zea Mays L.,0.27,
Zea Mays L.,0.28,
Zea Mays L.,0.32,
Zea Mays L.,0.28,
Zea Mays L.,0.38,
Zea Mays L.,1.34,
Zea Mays L.,0.49,
Zea Mays L.,0.62,
Zea Mays L.,0.6,
Zea Mays L.,1.43,
Zea Mays L.,0.13,
Zea Mays L.,0.54,
Zea Mays L.,1.12,
Zea Mays L.,0.48,
Zea Mays L.,1.75,
Zea Mays L.,0.91,
Sorghum bicolor,0.74,
Sorghum bicolor,,
Sorghum bicolor,1.44,
Sorghum bicolor,1.12,
Sorghum bicolor,1.44,
Panicum milaceum,0.96,
Avena sativa,0.49,
Avena sativa,0.55,
Avena sativa,0.92,
Avena sativa,0.63,
Hordeum vulgare,1.01,C
Hordeum vulgare,0.53,C
Hordeum vulgare,0.48,C
Hordeum vulgare,0.34,C
Hordeum vulgare,0.61,C
Hordeum vulgare,1.01,C
Hordeum vulgare,1.07,C
Secale cereale,0.79,C
Secale cereale,0.61,C
Secale cereale,1.08,C
Secale cereale,0.63,C
Secale cereale,0.97,C
Triticum turgidum,0.83,F
Triticum aestivum,1.2,M
Triticum aestivum,0.88,C
Triticum aestivum,1.53,C
Triticum aestivum,1.19,C
Triticum aestivum,0.5,C
Triticum aestivum,1.12,C
× Triticosecale,1,C
Aegilops cylindrica,0.87,C
Papaver Somniferum,0.67,C
Papaver Somniferum,0.86,C
Beta vulgaris,1.43,F
Beta vulgaris,1.33,C
Beta vulgaris,2,M
Beta vulgaris,2.26,C
Beta vulgaris,2.45,M
Beta vulgaris,1.86,M
Beta vulgaris,1.33,M
Beta vulgaris,1.13,C
Beta vulgaris,1.44,C
Spinacia oleracea,0.63,M
Rheum rhabarbarum,2.23,C
Fagopyrum esculentum,0.58,C
Linum usitatissimum,0.61,C
Linum usitatissimum,0.62,M
Lupinus albus,1.53,F
Lupinus angustifolius,1.66,C
Medicago sativa,2.32,C
Medicago sativa,1.69,F
Medicago sativa,1.69,F
Trifolium incarnatum,0.69,C
Trifolium incarnatum,0.98,C
Trifolium subterraneum,0.6,F
Trifolium subterraneum,0.82,F
Onobrychis viciifolia Scop.,1.65,F
Lens culinaris,0.63,C
Vicia faba,0.54,C
Pisum sativum,0.69,C
Pisum sativum,0.72,F
Glycine max,0.63,C
Glycine max,1.07,C
Phaseolus vulgaris,0.34,C
Phaseolus vulgaris,1.06,M
Phaseolus vulgaris,1.03,M
Cannabis sativa,0.14,
Cannabis sativa,1.12,C
Cannabis sativa,1.14,C
Cannabis sativa,1.41,F
Cucumis melo,0.4,F
Cucumis sativus,0.4,C
Cucurbita pepo,0.34,C
Cucurbita pepo,0.49,C
Cucurbita pepo,0.29,C
Cucurbita pepo,0.58,C
Armoracia rusticana,2.94,C
Armoracia rusticana,2.94,C
Camelina sativa,0.8,C
Camelina sativa,0.84,F
Brassica oleracea,1.47,C
Brassica oleracea,1.27,M
Brassica oleracea,1.16,F
Brassica oleracea,1.16,F
Brassica oleracea,0.74,C
Brassica oleracea,1.25,M
Brassica oleracea,0.98,C
Brassica oleracea,0.76,C
Brassica oleracea,0.74,C
Brassica oleracea,1.27,C
Brassica oleracea,1.68,C
Brassica oleracea,1.12,C
Brassica oleracea,1.09,M
Brassica oleracea,1.12,C
Brassica rapa,1.08,C
Brassica napus,0.96,C
Brassica napus,1.25,C
Brassica napus,1.2,F
Sinapis alba,0.95,C
Raphanus sativus,1.53,C
Raphanus sativus,1.51,C
Raphanus sativus,1.66,C
Satureja hortensis,1.08,C
Ocimum basilicum,0.57,C
Solanum lycopersicon,0.76,F
Solanum tuberosum,0.76,F
Solanum tuberosum,0.61,C
Solanum tuberosum,1.13,M
Solanum tuberosum,1.25,C
Solanum tuberosum,0.62,C
Solanum tuberosum,1.53,C
Solanum tuberosum,0.73,C
Nicotiana tabacum,1.31,F
Nicotiana tabacum,1.26,M
Phacelia tanacetifolia,0.88,F
Apium graveolens,0.63,C
Petroselinum crispum,0.75,C
Carum carvi,0.68,C
Carum carvi,0.8,C
Carum carvi,0.9,M
Foeniculum vulgare,2.1,F
Foeniculum vulgare,1.13,C
Anethum graveolens,0.88,C
Levisticum officinale,2.09,C
Pastinaca sativa,1.27,C
Daucus carota,1.09,C
Cichorium intybus,1.93,F
Cichorium intybus,1.22,C
Cichorium intybus,0.88,C
Lactuca sativa,0.61,C
Lactuca sativa,0.8,C
Cynara scolymus,1.71,C
Cynara cardunculus,1.7,F
Carthamus tinctorius,1.04,C
Helianthus annuus,1.9,C
Helianthus annuus,0.68,C
Helianthus annuus,1.8,C
Helianthus tuberosus,1.3,C
Equisetum variegatum,0.58,
Equisetum variegatum,0.38,
Botrychium virginianum,0.14,
Botrychium lunaria,0.1,
Caltha palustris,0.54,
Trollius europaeus,0.44,C
Thalictrum lucidum,0.39,
Pulsatilla alba,0.5,C
Pulsatilla vernalis,0.35,
Pulsatilla grandis,0.51,C
Ranunculus hybridus,0.27,
Ranunculus montanus,0.42,
Ranunculus nemorosus,0.42,C
Ranunculus oreophilus,0.27,
Adonis vernalis,0.7,C
Trifolium pratense,0.72,M
Stellaria nemorum,0.15,C
Dianthus superbus,0.05,
Dianthus carthusianorum,1.48,
Silene nutans,1.8,C
Silene otites,0.49,
Lychnis flos-cuculi,0.37,C
Lychnis viscaria,0.82,C
Lychnis viscaria,0.98,C
Kochia prostrata,4.1,C
Salicornia europaea,0.23,
Arthrocnemum fruticosum,1.1,F
Rumex acetosa,1.06,
Rumex acetosa,0.74,
Rumex thyrsiflorus,3.66,
Rumex alpinus,2.9,F
Rumex crispus,1.9,F
Rumex crispus,1.78,C
Rumex obtusifolius,2.64,C
Rumex maritimus,0.46,F
Polygonum bistoria,0.77,C
Polygonum bistoria,0.47,C
Polygonum viviparum,0.243,
Armeria maritima,0.8,F
Armeria alpina,1.41,C
Hypericum perforatum,0.58,C
Hypericum maculatum,0.72,C
Helianthemum ovatum,1.57,C
Helianthemum canum,0.5,C
Fumana procumbens,0.28,
Fumana procumbens,0.45,C
Viola canina,0.39,
Viola hirta,0.42,C
Viola palustris,0.11,
Viola tricolor,0.22,C
Erysimum hieraciifolium,0.63,C
Erysimum diffusum,0.67,C
Cardamine pratensis,0.11,
Cardaminopsis halleri,0.19,C
Arabis hirsuta,0.4,C
Alyssum montanum,0.51,C
Biscutella laevigata,2.14,C
Biscutella laevigata,1.18,C
Lepidium crassifolium,1.54,C
Euphorbia seguierana,0.76,C
Euphorbia seguierana,2.23,
Euphorbia cyparissias,0.89,C
Euphorbia myrsinites,3.41,C
Loiseleuria procumbens,0.27,C
Calluna vulgaris,0.38,C
Calluna vulgaris,0.78,C
Lysimachia vulgaris,0.89,
Lysimachia nummularia,0.32,
Soldanella pusilla,0.11,M
Primula veris,0.31,C
Primula elatior,0.18,C
Primula vulgaris,0.22,C
Primula furinosa,0.17,
Filipendula ulmaria,0.62,C
Filipendula vulgaris,0.62,F
Agrimonia eupatoria,1.55,C
Sanguisorba officinalis,1,C
Sanguisorba minor,1.5,C
Geum reptans,0.15,
Geum montanum,0.17,C
Geum rivale,0.65,
Potentilla alba,0.17,
Potentilla rupestris,0.61,C
Potentilla anserina,0.42,F
Potentilla argentea,1.1,C
Potentilla arenaria,0.44,C
Potentilla pusilla,1.41,
Potentilla heptaphylla,0.7,C
Potentilla aurea,0.11,C
Potentilla anglica,0.97,C
Potentilla erecta,0.55,C
Alchemilla monticola,0.23,C
Sedum sexangulare,0.11,C
Sedum acre,0.12,C
Saxifraga granulata,0.16,M
Parnassia palustris,0.09,
Genista tinctoria,2.76,C
Genista tinctoria,1.77,C
Genista pilosa,0.48,C
Genista germanica,0.9,C
Chamaespartium sagittale,2.1,
Chamaespartium sagittale,1.31,
Chamaespartium sagittale,1.12,C
Astragalus austriacus,0.39,C
Astragalus onobrychis,2.72,C
Astragalus onobrychis,2.6,
Astragalus kazbeki,1.2,C
Astragalus denudatus,1.7,
Oxytropis pilosa,0.78,C
Oxytropis campestris,1.01,
Anthyllis vulneraria,1.68,
Dorycnium germanicum,0.98,C
Lotus uliginosus,0.3,C
Lotus uliginosus,0.3,C
Coronilla vaginalis,0.45,M
Ornithopus perpusillus,0.18,C
Ornithopus perpusillus,0.18,C
Hippocrepis comosa,1.61,M
Hippocrepis comosa,0.66,M
Hippocrepis comosa,0.74,
Hippocrepis comosa,0.74,
Hedysarum coronarium,1.21,F
Hedysarum coronarium,1.21,F
Onobrychis montana,1.57,C
Onobrychis arenaria,2.18,
Ononis repens,1.43,C
Ononis spinosa,2.0215,C
Ononis spinosa,1.49,M
Ononis spinosa,2.24,C
Trigonella balansae,2,C
Medicago minima,0.22,
Trifolium campestre,0.41,C
Trifolium dubium,0.18,M
Trifolium aureum,0.33,C
Trifolium badium,0.34,M
Trifolium montanum,0.9,
Trifolium subterraneum,0.6,F
Trifolium fragiferum,0.13,C
Trifolium pratense,0.69,C
Trifolium pratense,0.57,F
Trifolium trichocephalum,1.29,
Vicia sepium,0.52,M
Lathyrus pratensis,1.18,C
Linum austriacum,0.99,C
Linum tenuifolium,0.41,C
Linum catharticum,0.18,
Geranium pratense,0.54,C
Geranium sylvaticum,0.49,C
Geranium phaeum,0.67,C
Polygala amarella,0.1,
Polygala comosa,0.44,M
Lythrum salicaria,0.64,C
Hydrocotyle vulgaris,0.06,C
Hydrocotyle vulgaris,0.06,C
Eryngium campestre,1.68,C
Echinophora spinosa,1.58,C
Bupleurum falcatum,0.52,C
Trinia glauca,0.27,
Trinia glauca,0.27,
Carum carvi,1.25,C
Carum caucasicum,1.09,C
Carum caucasicum,1.09,C
Carum caucasicum,1.09,C
Chamaesciadium acaule,0.93,F
Chamaesciadium acaule,0.93,F
Pimpinella major,2.77,C
Pimpinella saxifraga,2.73,C
Pimpinella saxifraga,2.73,C
Aegopodium podagraria,0.7,C
Berula erecta,0.28,
Seseli libanotis,1.36,C
Seseli osseum,1,C
Seseli annuum,0.66,C
Seseli hippomarathrum,1.07,C
Silaum silaus,1.3,
Meum athamanticum,1.28,C
Meum athamanticum,1.3,C
Cnidium dubium,1.23,
Selinum carvifolia,0.57,C
Ligusticum mutellina,0.68,C
Angelica sylvestris,0.45,C
Angelica sylvestris,0.29,C
Peucedanum oreoselinum,3.15,C
Peucedanum oreoselinum,2.24,C
Peucedanum oreoselinum,2.24,C
Peucedanum officinale,1.39,C
Pastinaca sativa,1.88,C
Daucus carota,1.05,C
Chaerophyllum aureum,1.24,F
Chaerophyllum hirsutum,0.74,C
Anthriscus sylvestris,1.49,F
Gentiana pannonica,0.32,C
Gentiana pannonica,0.32,C
Gentiana punctata,0.95,C
Gentiana pneumonanthe,0.69,F
Gentiana acaulis,0.19,C
Gentiana acaulis,0.19,C
Gentiana verna,0.12,
Gentianella ciliata,0.11,C
Gentianella anisodonta,0.09,C
Asperula tinctoria,0.81,C
Asperula cynanchica,0.93,C
Galium boreale,1.2,C
Galium album,1.3,
Galium verum,0.89,
Cruciata laevipes,0.31,
Cruciata laevipes,0.31,
Cruciata laevipes,0.31,
Cruciata glabra,0.14,C
Cruciata glabra,0.14,C
Cruciata glabra,0.14,C
Valeriana officinalis,0.29,C
Valeriana dioica,0.17,
Scabiosa canescens,1.37,C
Scabiosa columbaria,0.9,C
Scabiosa lucida,0.53,
Scabiosa ochroleuca,0.96,C
Knautia arvensis,1.61,C
Knautia arvensis,1.72,C
Succisa pratensis,0.8,C
Lappula squarrosa,0.43,C
Myosotis palustris,0.21,M
Myosotis decumbens,0.37,C
Onosma arenarium,1.25,C
Onosma arenarium,1.25,C
Verbascum lychnitis,3.26,C
Veronica spicata,0.21,C
Veronica chamaedrys,0.34,
Veronica officinalis,0.21,C
Pedicularis tuberosa,0.13,
Pedicularis chroorrhyncha,0.19,
Euphrasia rostkoviana,0.08,M
Rhinathus alectorolophus,0.11,C
Rhinathus alectorolophus,0.11,C
Rhinathus alectorolophus,0.11,C
Rhinathus alectorolophus,0.11,C
Rhinathus minor,0.08,C
Rhinathus minor,0.08,C
Rhinathus minor,0.08,C
Globularia cordifolia,0.61,M
Globularia punctata,0.17,
Pinguicula alpina,0.08,M
Pinguicula vulgaris,0.05,
Plantago maritima,0.91,C
Plantago maritima,0.91,C
Plantago coronopus,0.38,C
Plantago lanceolata,0.93,F
Plantago media,0.93,C
Plantago caucasia,1.26,C
Plantago caucasia,1.26,C
Ajuga genevensis,0.17,C
Ajuga pyramidalis,0.21,C
Ajuga reptans,0.31,C
Teucrium chamaedrys,1.62,
Teucrium montanum,0.58,C
Stachys recta,1.79,M
Betonica officinalis,0.54,C
Betonica officinalis,0.91,F
Betonica alopecurus,0.36,C
Prunella grandiflora,0.84,C
Prunella vulgaris,0.23,C
Prunella vulgaris,0.23,C
Horminum pyrenaicum,1.39,F
Salvia pratensis,2.1,C
Salvia nemorosa,1.91,
Salvia verticillata,1.8,F
Acinos alpinus,0.58,M
Acinos arvensis,0.47,C
Thymus pulegioide,0.63,
Mentha longifolia,1.07,C
Campanula barbata,0.76,C
Campanula barbata,0.76,C
Campanula sibirica,0.76,C
Campanula glomerata,0.53,F
Campanula spicata,1.13,C
Campanula scheuchzeri,0.84,C
Campanula rotundifolia,0.71,C
Campanula patula,0.29,C
Campanula rapunculus,0.63,C
Phyteuma spicatum,0.71,M
Phyteuma nigrum,0.49,
Phyteuma nigrum,0.49,
Phyteuma orbiculare,0.5,
Jasione montana,0.63,
Jurinea cyanoides,1.51,
Jurinea mollis,0.88,
Carduus acanthoides,1.79,C
Cirsium pannonicum,1,
Cirsium canum,1.23,C
Cirsium rivulare,0.85,F
Cirsium acaule,1.11,M
Cirsium heterophyllum,0.69,C
Cirsium heterophyllum,0.69,C
Cirsium oleraceum,1.65,
Cirsium oleraceum,1.72,M
Cirsium palustre,1.42,C
Cirsium vulgare,2.1,C
Cirsium arvense,2.36,M
Cirsium arvense,2.36,M
Cirsium arvense,2.36,M
Cirsium arvense,0.34,C
Cirsium arvense,0.34,C
Cirsium arvense,0.34,C
Cirsium arvense,0.34,C
Serratula tinctoria,0.59,
Centaurea jacea,2.47,C
Centaurea pseudophrygia,0.74,C
Centaurea stoebe,1.98,
,,
Centaurea scabiosa,3.33,M
Centaurea scabiosa,3.33,M
Centaurea triumfettii,0.92,C
Centaurea cheiranthifolia,0.98,
Carlina vulgaris,0.87,
Carlina acaulis,1.38,C
Carlina acaulis,1.23,
Carlina acaulis,1.23,
Carlina acaulis,0.66,C
Antennaria diocia,0.15,M
Buphthalmum salicifolium,1.2,C
Pulicaria dysenteria,1.14,M
Pulicaria dysenteria,1.14,M
Inula britannica,0.44,M
Homogyne alpina,0.31,F
Arnica montana,0.81,C
Tephroseris crispa,0.35,C
Senecio subalpinus,1.06,C
Senecio abrotanifolius,0.31,C
Senecio jacobea,0.79,
Aster tripolium,0.65,F
Aster amellus,0.87,M
Aster linosyris,0.52,C
Aster bellidiastrum,0.39,C
Erigeron acris,0.4,C
Bellis perennis,0.18,C
Achillea ptarmica,0.59,F
Achillea tomentosa,0.5,C
Leucanthemum ircutianum,0.42,
Artemisia monogyna,0.5,
Cichorium intybus L.,1.19,C
Hieracium umbellatum,1.27,C
Hieracium bauhinii,0.83,C
Hieracium pilosella,0.47,C
Crepis paludosa,0.29,C
Crepis aurea,0.25,M
Crepis conyzifolia,1.61,C
Crepis biennis,0.99,C
Crepis capillaris,0.46,C
Willemetia stipitata,0.42,F
Taraxacum serotinum,4.56,
Taraxacum bessarabicum,0.5,F
Taraxacum palustre,0.24,
Taraxacum officinale,2.4,C
Hypochoeris maculata,2.58,C
Hypochaeris uniflora,0.65,
Hypochaeris radicata,1.15,C
Hypochaeris radicata,0.89,C
Leontodon autumnalis,0.37,C
Leontodon montanus,0.32,
Leontodon helveticus,0.35,
Leontodon hispidus,0.3,C
Leontodon incanus,0.71,C
Leontodon tuberosus,0.7,F
Picris hieracioides,1.23,M
Picris echioides,1.36,M
Scorzonera austriaca,2.14,C
Scorzonera humilis,1.07,F
Scorzonera parviflora,0.55,
Scorzonera villosa,1.16,M
Scorzonera villosa,1.16,M
Scorzonera villosa,2.08,F
Podospermum canum,0.52,
Podospermum canum,1.75,C
Tragopogon dubius,1.51,
Tragopogon orientalis,1.08,C
Tofieldia calyculata,0.12,M
Veratrum album,0.75,C
Ornithogalum sphaerocarpum,0.2,C
Muscari racemosum,0.09,C
Leucojum aestivum,0.41,M
Leucojum vernum,0.28,C
Gymnaderia conopsea,0.07,C
Nigritella nigra,0.05,C
Dactylorhiza majalis,0.08,C
Juncus squarrosus,0.33,C
Juncus gerardii,0.59,C
Juncus trifidus,0.54,C
Juncus jacquinii,1.34,C
Luzula alpinopilosa,0.93,C
Luzula alpinopilosa,0.93,C
Eriophorum latifolium,0.93,M
Eriophorum angustifolium,1.21,
Eriophorum angustifolium,1.21,
Eriophorum angustifolium,1.21,
Eriophorum vaginatum,0.61,
Kobresia myosuroides,0.2,C
Carex arenaria,1.02,C
Carex arenaria,1.02,C
Carex arenaria,1.02,C
Carex curvula,0.65,C
Carex disticha,0.91,C
Carex appropinquata,1.13,C
Carex leporina,0.3,C
Carex echinata,0.44,M
Carex montana,0.27,F
Carex ericetorum,0.31,C
Carex liparocarpus,0.26,C
Carex pallescens,0.77,C
Carex gracilis,1.42,M
Carex nigra,0.56,F
Carex nigra,0.56,F
Carex elata,1.03,C
Carex elata,0.45,
Carex elata,0.45,
Carex ferruginea,0.25,F
Carex sempervirens,0.22,C
Carex firma,0.24,M
Carex acutiformis,1.52,C
Carex acutiformis,1.52,C
Carex vesicaria,1.26,M
Carex hirta,1.2,C
Bromus erectus,0.89,C
Hordeum secalinum,1.07,M
Festuca paniculata,0.67,C
Festuca varia,0.23,C
Lolium perenne,0.800254237,C
Lolium perenne,0.59,C
Lolium perenne,0.21,C
Lolium perenne,0.21,C
Poa palustris,0.62,C
Poa alpina,0.43,C
Danthonia decumbens,0.45,C
Trisetum flavescens,0.37,C
Avenula versicolor,0.25,C
Avenella flexuosa,0.75,M
Calamagrostis pseudophragmites,1.8,C
Agrostis stolonifera,0.65,F
Agrostis canina,0.13,
Spartina townsendii,0.75,
Phleum hirsutum,0.4,C
Phleum alpinum,0.35,C
Alopecurus geniculatus,0.61,F
Nardus stricta,0.8,C
Poa annua,0.17,M
Poa pratensis,0.77,C
Lolium multiflorum,0.93,M
Agropyron repens,0.87,M
Secale cereale,1.24,M
Triticum aestivum,1.26,M
Triticum aestivum,1.82,M
Hordeum distichum,1.02,C
Phragmites australis,1.08,C
Avena fatua,0.94,C
Avena sativa,0.89,C
Agrostis alba,0.65,C
Apera spica-venti,0.66,C
Panicum miliaceum,0.8516,C
Panicum Crus-galli,0.48,M
Setaria viridis,0.36,C
Zea mays,1.24,C
Sorghum halepense,1.26,C
Juncus bufonius,0.11,F
Cannabis sativa,1.06,C
Urtica diocia,,C
Urtica urens,0.68,M
Rumex obtusifolius,2.05,C
Rumex crispus,4.73,C
Rumex acetosella,0.902,C
Polygonum amphibium,2.7702,C
Polygonum lapathifolium,0.7816,M
Polygonum tomentosum,0.33,C
Polygonum persicaria,0.37,C
Polygonum hydropiper,1.28,C
Polygonum convolvulus,0.84,C
Polycnemum majus,0.77,C
Beta vulgaris,1.16,C
Chenopodium polyspermum,0.9,C
Chenopodium hybridum,1.32,C
Chenopodium glaucum,0.74,C
Atriplex patula,0.95,C
Salsola tragus,0.82,C
Amaranthus lividus,0.59,M
Portulaca oleracea,0.25,C
Agrostemma githago,0.86,C
Silene_vulgaris,1.49,C
Silene_vulgaris,0.69,C
Melandrium diurnum,0.55,C
Melandrium album,0.63,C
Melandrium noctiflorum,0.56,M
Gypsophila muralis,0.51,C
Gypsophila muralis,0.14,F
Vaccaria pyramidata,0.64,C
Malachium aquaticum,0.58,C
Stellaria media,0.12,M
Cerastium glomeratum,0.11,F
Cerastium caespitosum,0.23,M
Cerastium arvense,0.14,M
Sagina procumbens,0.04,M
Arenaria serpyllifolia,0.21,C
Spergula arvensis,0.56,C
Spergularia rubra,0.16,M
Scleranthua annuua,0.21,C
Nigella arvensis,0.69,C
Delphinium consolida,0.51,M
Ranunculus repens,0.21,C
Ranunculus repens,0.34,M
Adonis aestivalis,0.85,M
Papaver rhoeas,1.04,M
Fumaria officinalis,0.55,C
Fumaria vaillantii,0.62,C
Sinapis arvensis,1.35,C
Diplotaxis muralis,0.75,C
Raphanus raphanistrum,1.74,C
Raphanus raphanistrum,0.77,M
Lepidium draba,1.16,C
Thlaspi arvense,0.49,M
Thlaspi perfoliatum,0.2,C
Capsella bursa,0.89,M
Neslia paniculata,0.65,M
Rorippa islandica,0.79,C
Erysimum cheiranthoides,0.55,F
Arabidopsis thaliana,0.43,C
Camelina microcarpa,0.56,C
Reseda lutea,0.79,C
Saxifraga tridactylites,0.08,C
Rubus caesius,2.17,M
Alchemilla arvensis,0.16,M
Melilotus officinalis,0.95,C
Melilotus alba,0.77,C
Medicago lupulina,0.54,C
Medicago sativa,1.37,C
Trifolium arvense,0.45,C
Trifolium incarnatum,0.4,M
Trifolium pratense,0.82,C
Lotus corniculatus,1.05,C
Coronilla varia,0.89,C
Onobrychis viciifolia Scop.,0.61,M
Lens culinaris,0.62,C
Vicia hirsuta,0.66,M
Vicia tetrasperma,0.74,C
Vicia villosa,0.86,M
Vicia dasycarpa,0.72,M
Vicia sativa,0.85,C
Lathyrus tuberosus,0.71,M
Geranium pusillum,0.59,C
Erodium cicutarium,1.45,C
Mercurialis annua,0.47,M
Euphorbia helioscopia,0.85,C
Euphorbia falcata,0.35,C
Euphorbia exigua,0.49,C
Hibiscus trionum,0.95,
Hypericum humifusum,0.51,C
Viola tricolor,0.45,C
Scandix pecten,0.41,M
Orlaya grandiflora,0.73,C
Aethusa cynapium,0.56,M
Daucus carota,0.79,C
Daucus carota,0.64,C
Anagallis arvensis,0.43,C
Anagallis arvensis,0.2,C
Anagallis femina,0.24,M
Centaurium pulchellum,0.13,M
Convolvulus sepium,0.69,C
Convolvulus arvensis,2.24,M
Lappula myosotis,0.77,M
Lithospermum arvense,0.67,C
Myosotis arvensis,0.26,C
Myosotis micrantha,0.15,C
Cerinthe minor L.,0.51,C
Echium vulgare,2.57,C
Nonea pulla,0.96,M
