Species,Dr,EU_soil_texture
Hesperostipa comata,1.06,C
Hesperostipa spartea,0.62,M
Hesperostipa spartea,1.36,M
Heterotheca villosa,2.43,C
Koeleria pyramidata,0.75,M
Krascheninnikovia lanata,1.8,M
Liatris punctata,2.1,C
Lithospermum incisum,1.1,M
Lygodesmia juncea,3,M
Machaeranthera pinnatifida,1.6,C
Muhlenbergia cuspidata,0.5,M
Nassella viridula,1.04,M
Opuntia polyacantha,0.3,C
Packera cana,1.5,M
Pascopyrum smithii,0.82,C
Pascopyrum smithii,1.24,M
Pascopyrum smithii,1.65,M
Pediomelum argophyllum,1.1,M
Pentaphylloides floribunda,3,M
Phlox hoodii,0.95,M
Potentilla concinna,1.8,M
Potentilla pensylvanica,0.66,C
Psoralidium lanceolatum,1.24,C
Pulsatilla patens,1.22,M
Solidago missouriensis,1.32,M
Sphaeralcea coccinea,1.8,M
Sporobolus cryptandrus,0.78,C
Thermopsis rhombifolia,2.1,M
Artemisia frigida,1.2,M
Bouteloua gracilis,0.9,M
Festuca arizonica,1.2,M
Muhlenbergia montana,0.9,M
Cenchrus ciliaris,1.72,C
Cenchrus setigerus,1.71,C
Dichanthium annulatum,1.17,C
Elynurus hirsutus,4.03,C
Panicum antidotale,2.21,C
Cenchrus ciliaris,1.66,C
Cenchrus setigerus,1.39,C
Dichanthium annulatum,1.17,C
Elynurus hirsutus,1.86,C
Panicum antidotale,1.96,C
Shorea robusta,3.6,
Abies balsamea,0.625,C
Picea mariana,0.625,C
Quercus turbinella,6.4,C
Arctostaphylos pallida,4,C
Arctostaphylos glutinosa,2.5,C
Acer saccharum,3.7,M
Populus tremuloides,2.3,F
Eucalyptus camaldulensis,9,
Eucalyptus gomphocephala,9,
Eucalyptus marginata,40,C
Malosma laurina,13.2,
Bauhinia purpurea,3.45,M
Eucalyptus tereticornis,4.15,M
Grewia optiva,2.45,M
Leucaena leucocephala,2.8,M
Ougeinia oojeinensis,3.5,M
Agropyron desertorum,1.3,F
Artemisia tridentata ssp. vaseyana,2.2,M
Acacia barbinervis,0.15,C
Acacia huegelii,0.37,C
Acacia pulchella,0.42,C
Adenanthos cygnorum,0.36,C
Allocasuarina humilis,1.3,C
Andersonia heterophylla,0.16,C
Aotus ericoides,0.25,C
Astartea fascicularis,0.8,C
Astroloma xerophyllum,0.4,C
Astroloma xerophyllum,0.85,C
Bossiaea eriocarpa,0.17,C
Bossiaea eriocarpa,0.9,C
Calytrix flavescens,0.15,C
Calytrix flavescens,2,C
Calytrix fraseri,0.6,C
Calytrix sapphirina,0.2,C
Calytrix sapphirina,0.63,C
Conospermum incurvum,0.8,C
Conostephium minus,0.25,C
Conostephium minus,0.52,C
Conostephium pendulum,0.22,C
Daviesia gracilis,1.2,C
Daviesia gracilis,1.8,C
Eremaea pauciflora,0.9,C
Eremaea pauciflora,2.4,C
Eriostemon spicatus,0.14,C
Eriostemon spicatus,0.8,C
Euchilopsis linearis,0.42,C
Gompholobium tomentosum,0.1,C
Gompholobium tomentosum,1.05,C
Hemiandra pungens,0.1,C
Hemiandra pungens,0.4,C
Hibbertia aurea,0.25,C
Hibbertia aurea,0.9,C
Hibbertia helianthemoides,0.1,C
Hibbertia helianthemoides,0.7,C
Hibbertia huegelii,0.2,C
Hibbertia hypericoides,0.19,C
Hibbertia hypericoides,2.1,C
Hibbertia subvaginata,0.67,C
Hypocalymma angustifolium,0.11,C
Hypocalymma angustifolium,0.86,C
Lechenaultia floribunda,0.15,C
Leucopogon conostephioides,0.09,C
Leucopogon conostephioides,0.92,C
Leucopogon sprengelioides,0.1,C
Leucopogon sprengelioides,0.51,C
Melaleuca scabra,0.35,C
Melaleuca scabra,2,C
Melaleuca seriata,0.25,C
Melaleuca seriata,2.1,C
Nemcia capitata,0.2,C
Nemcia capitata,0.6,C
Pericalymma ellipticum,0.08,C
Petrophile linearis,0.75,C
Petrophile linearis,2,C
Piptomeris floribunda,3.11,C
Piptomeris furcellata,2,C
Pithocarpa corymbulosa,0.17,C
Pithocarpa corymbulosa,0.75,C
Scholtzia involucrata,0.43,C
Scholtzia involucrata,1.9,C
Stirlingia latifolia,0.17,C
Stirlingia latifolia,2.6,C
Opuntia polyacantha,0.1,M
Enarganthe octonaria,0.08,C
Euphorbia wallichii,0.2,C
Zygophyllum prismatocarpum,0.18,C
Aizoon hispanicum,0.05,C
Atriplex halimus,0.55,C
Erucaria rostrata,0.07,C
Haplophyllum tuberculatum,0.3,C
Heliotropium rotundifolium,0.3,C
Linaria haelava,0.05,C
Lygos raetam,1.1,C
Reseda muricata,0.18,C
Salsola orientalis,0.35,C
Suaeda asphaltica,0.1,C
Zygophyllum dumosum,1.7,C
Haloxylon tamariscifolium,1.6,C
Lygos raetam,1.2,C
